ID: 43, Score: 1799
ID: 96, Score: 56
ID: 26, Score: 55
ID: 42, Score: 341
ID: 19, Score: 54
ID: 48, Score: 54
ID: 8, Score: 282
ID: 14, Score: 54
ID: 38, Score: 114
ID: 69, Score: 145
ID: 82, Score: 65
ID: 80, Score: 156
ID: 20, Score: 52
ID: 64, Score: 63
ID: 15, Score: 51
ID: 24, Score: 91
ID: 76, Score: 75
ID: 94, Score: 50
ID: 88, Score: 49
ID: 90, Score: 76
ID: 58, Score: 49
ID: 77, Score: 49
ID: 28, Score: 90
ID: 59, Score: 49
ID: 21, Score: 49
ID: 10, Score: 48
ID: 89, Score: 47
ID: 33, Score: 46
ID: 5, Score: 45
ID: 92, Score: 85
ID: 29, Score: 43
ID: 44, Score: 72
ID: 67, Score: 64
ID: 51, Score: 39
ID: 55, Score: 41
ID: 93, Score: 61
ID: 32, Score: 36
ID: 12, Score: 36
ID: 59, Score: 67
ID: 47, Score: 36
ID: 100, Score: 36
ID: 99, Score: 34
ID: 25, Score: 33
ID: 80, Score: 33
ID: 11, Score: 32
ID: 32, Score: 29
ID: 75, Score: 59
ID: 95, Score: 29
ID: 100, Score: 29
ID: 18, Score: 26
ID: 50, Score: 26
ID: 40, Score: 26
ID: 80, Score: 25
ID: 77, Score: 24
ID: 58, Score: 22
ID: 28, Score: 22
ID: 2, Score: 29
ID: 68, Score: 21
ID: 22, Score: 22
ID: 92, Score: 20
ID: 6, Score: 19
ID: 59, Score: 19
ID: 3, Score: 18
ID: 49, Score: 22
ID: 67, Score: 25
ID: 84, Score: 16
ID: 77, Score: 15
ID: 7, Score: 13
ID: 70, Score: 23
ID: 52, Score: 11
ID: 14, Score: 9
ID: 60, Score: 9
ID: 71, Score: 8
ID: 28, Score: 14
ID: 32, Score: 7
ID: 76, Score: 6
ID: 12, Score: 5
ID: 32, Score: 5
ID: 70, Score: 4
ID: 53, Score: 1
ID: 59, Score: 1
ID: 15, Score: 0
ID: 27, Score: 0
ID: 10, Score: -1
ID: 75, Score: -1
